emoji,hex,r,g,b,l,a_val,b_val
🏏,1F3CF,209,123,58,59.86,28.11,48.39
🏐,1F3D0,214,206,204,83.26,2.55,2.1
🏑,1F3D1,169,163,152,67.03,0.27,6.36
🏒,1F3D2,200,125,74,59.25,24.43,39.11
🏓,1F3D3,249,112,73,63.61,50.01,46.6
🏔,1F3D4,174,195,191,77.13,-7.73,-0.58
🏕,1F3D5,159,145,69,60.01,-5.13,41.44
🏖,1F3D6,213,170,145,72.94,11.87,19.25
🏗,1F3D7,221,124,49,61.66,32.02,55.0
🏘,1F3D8,203,165,144,70.67,10.97,16.22
🏙,1F3D9,104,164,182,64.22,-14.77,-15.31
🏚,1F3DA,127,100,83,44.68,8.22,14.08
🏛,1F3DB,157,176,191,70.8,-3.32,-10.01
🏜,1F3DC,222,192,116,78.75,1.01,41.87
🏝,1F3DD,131,161,131,63.38,-16.6,12.17
🏞,1F3DE,95,183,161,68.76,-32.19,3.26
🏟,1F3DF,169,117,90,54.0,16.96,23.01
🏠,1F3E0,200,167,138,70.78,7.52,19.39
🏡,1F3E1,190,183,95,73.24,-9.46,45.26
🏢,1F3E2,175,189,191,75.75,-4.46,-2.67
🏣,1F3E3,178,148,141,63.8,9.91,7.96
🏤,1F3E4,189,170,135,70.46,1.23,20.69
🏥,1F3E5,166,172,179,70.23,-0.75,-4.23
🏦,1F3E6,156,180,198,72.13,-4.24,-12.07
🏧,1F3E7,57,105,189,45.03,12.26,-49.08
🏨,1F3E8,195,153,123,66.28,11.49,21.6
🏩,1F3E9,227,115,171,62.87,49.82,-9.57
🏪,1F3EA,152,179,173,70.79,-10.19,-0.2
🏫,1F3EB,186,154,109,65.44,5.88,28.15
🏬,1F3EC,164,154,145,64.12,2.27,6.11
🏭,1F3ED,194,143,143,64.31,19.11,7.66
🏮,1F3EE,207,74,40,49.77,50.85,46.96
🏯,1F3EF,140,150,150,61.35,-3.77,-0.91
🏰,1F3F0,164,134,124,58.35,10.2,9.59
🏳,1F3F3,226,223,223,89.15,0.71,0.73
🏴,1F3F4,93,93,93,39.62,-0.0,0.0
🏵,1F3F5,245,119,38,63.93,43.89,62.59
🏷,1F3F7,240,201,143,82.99,5.98,34.07
🏸,1F3F8,129,189,217,73.72,-12.48,-19.9
🏹,1F3F9,180,134,104,59.57,13.91,23.17
🏺,1F3FA,189,98,54,51.66,32.8,40.58
🏻,1F3FB,251,218,179,88.79,5.9,23.29
🏼,1F3FC,218,180,141,75.82,8.22,25.13
🏽,1F3FD,180,136,102,60.01,12.36,24.45
🏾,1F3FE,158,102,64,48.35,18.6,30.58
🏿,1F3FF,106,77,68,35.72,10.73,10.07
🐀,1F400,184,192,191,76.97,-2.95,-0.36
🐁,1F401,217,201,201,82.22,5.65,2.15
🐂,1F402,131,91,75,42.45,14.56,15.54
🐃,1F403,169,162,165,67.41,3.13,-0.6
🐄,1F404,162,159,156,65.62,0.97,1.63
🐅,1F405,199,126,51,59.37,21.92,50.94
🐆,1F406,218,151,25,67.39,15.73,67.74
🐇,1F407,213,210,210,84.43,1.15,0.3
🐈,1F408,243,172,13,75.06,15.45,76.91
🐉,1F409,49,168,75,60.83,-52.23,38.14
🐊,1F40A,114,129,54,51.26,-17.45,38.27
🐋,1F40B,139,185,191,72.1,-13.41,-8.34
🐌,1F40C,182,129,99,58.57,16.67,24.59
🐍,1F40D,190,199,84,77.61,-18.9,55.27
🐎,1F40E,215,149,90,66.9,18.84,40.66
🐏,1F40F,192,181,172,74.39,2.14,6.26
🐐,1F410,158,122,93,54.03,9.98,21.12
🐑,1F411,220,220,220,87.78,-0.0,0.0
🐒,1F412,191,144,98,63.21,12.03,31.09
🐓,1F413,167,113,52,52.22,15.5,41.7
🐔,1F414,230,181,171,77.82,16.02,11.98
🐕,1F415,214,165,138,71.53,14.34,20.98
🐖,1F416,249,197,171,83.57,14.84,20.37
🐗,1F417,134,95,84,43.95,14.56,12.36
🐘,1F418,184,184,183,74.61,-0.07,0.45
🐙,1F419,246,110,105,63.23,51.86,28.63
🐚,1F41A,221,212,206,85.53,1.83,4.28
🐛,1F41B,155,170,33,66.38,-21.69,62.5
🐜,1F41C,93,96,98,40.69,-0.83,-1.51
🐝,1F41D,174,152,73,63.27,-1.5,43.78
🐞,1F41E,162,55,55,38.92,44.19,23.86
🐟,1F41F,70,155,202,60.68,-10.84,-31.87
🐠,1F420,158,197,106,74.98,-27.95,41.07
🐡,1F421,221,172,135,73.81,13.1,25.83
🐢,1F422,141,158,61,62.04,-19.99,47.46
🐣,1F423,238,197,99,81.19,3.46,53.39
🐤,1F424,252,177,3,77.49,16.18,80.14
🐥,1F425,250,177,4,77.24,15.7,79.84
🐦,1F426,65,171,206,65.43,-18.83,-26.96
🐧,1F427,151,141,123,59.1,0.64,11.33
🐨,1F428,163,159,159,65.76,1.47,0.16
🐩,1F429,202,201,201,80.98,0.31,-0.19
🐪,1F42A,240,169,64,74.37,16.82,61.96
🐫,1F42B,235,161,67,71.79,19.31,57.59
🐬,1F42C,64,178,220,67.95,-18.2,-30.55
🐭,1F42D,181,166,166,69.3,5.58,2.05
🐮,1F42E,217,184,151,76.85,6.91,21.4
🐯,1F42F,203,136,61,62.27,18.63,49.33
🐰,1F430,194,192,195,78.0,1.12,-1.05
🐱,1F431,230,174,48,74.42,9.24,67.5
🐲,1F432,110,166,79,62.67,-34.57,38.83
🐳,1F433,123,177,187,69.09,-15.25,-10.78
🐴,1F434,219,153,92,68.54,18.43,41.42
🐵,1F435,207,155,100,67.67,13.01,36.07
🐶,1F436,201,164,141,70.05,10.12,17.15
🐷,1F437,240,190,163,80.83,14.27,20.47
🐸,1F438,180,187,27,73.09,-19.64,70.43
🐹,1F439,232,168,118,73.94,17.68,35.3
🐺,1F43A,175,175,175,71.36,-0.0,0.0
🐻,1F43B,140,97,81,45.1,15.42,16.09
🐼,1F43C,169,168,168,69.03,0.07,0.11
🐽,1F43D,250,149,163,72.52,39.65,8.95
🐾,1F43E,23,107,198,45.32,10.61,-53.97
🐿,1F43F,180,133,104,59.43,14.45,22.63
👀,1F440,204,207,208,82.84,-0.76,-1.11
👁,1F441,159,148,141,62.04,2.54,5.31
👂,1F442,238,169,25,73.84,14.97,73.71
👃,1F443,246,183,30,78.21,10.95,76.32
👄,1F444,196,84,126,51.47,48.86,-1.14
👅,1F445,206,79,122,52.07,54.1,2.25
👆,1F446,248,188,34,79.78,9.21,76.95
👇,1F447,248,189,34,79.82,9.18,76.99
👈,1F448,248,188,34,79.73,9.23,76.9
👉,1F449,248,189,34,79.79,9.21,76.97
👊,1F44A,241,178,31,76.42,11.91,74.6
👋,1F44B,241,185,43,78.21,8.36,72.84
👌,1F44C,239,175,32,75.63,12.03,73.49
👍,1F44D,243,181,31,77.34,11.31,75.37
👎,1F44E,243,180,31,77.32,11.31,75.35
👏,1F44F,243,185,41,78.4,9.07,73.67
👐,1F450,243,180,31,77.11,11.44,75.16
👑,1F451,235,185,58,77.66,6.36,67.39
👒,1F452,206,160,164,70.25,17.46,4.72
👓,1F453,140,139,151,58.37,2.49,-6.26
👔,1F454,197,210,219,83.54,-2.83,-6.08
👕,1F455,170,223,234,85.62,-14.47,-10.84
👖,1F456,32,86,166,37.47,12.21,-48.11
👗,1F457,23,102,191,43.4,11.24,-53.13
👘,1F458,227,176,206,77.28,22.92,-7.68
👙,1F459,233,71,71,54.35,61.75,36.69
👚,1F45A,207,177,232,76.33,20.98,-23.71
👛,1F45B,244,106,124,62.46,54.35,17.04
👜,1F45C,188,124,77,57.62,20.22,35.63
👝,1F45D,243,189,28,79.41,6.66,77.65
👞,1F45E,140,93,62,43.88,15.63,25.57
👟,1F45F,58,147,196,57.86,-10.38,-33.15
👠,1F460,187,67,60,45.46,47.99,30.02
👡,1F461,206,137,87,63.04,21.17,37.41
👢,1F462,206,112,66,57.09,33.24,41.11
👣,1F463,23,107,198,45.32,10.61,-53.97
👤,1F464,92,130,163,52.82,-4.07,-21.89
👥,1F465,24,135,226,54.95,4.42,-54.45
👦,1F466,163,123,47,54.21,7.42,45.86
👧,1F467,151,113,48,50.21,7.9,40.55
👨,1F468,178,136,46,59.28,6.99,52.08
👩,1F469,153,116,48,51.27,7.4,42.01
👪,1F46A,139,139,139,57.72,-0.0,0.0
👫,1F46B,131,126,106,52.6,-1.58,11.25
👬,1F46C,120,143,93,56.4,-17.3,24.07
👭,1F46D,149,98,115,47.56,23.25,-1.04
👮,1F46E,123,118,108,49.67,0.26,6.2
👯,1F46F,164,128,51,55.74,5.18,45.86
👰,1F470,194,162,117,68.3,5.63,27.34
👱,1F471,245,185,46,78.69,10.1,72.49
👲,1F472,198,118,49,57.31,25.65,49.71
👳,1F473,210,190,141,77.52,-0.34,27.41
👴,1F474,238,191,54,79.42,4.25,70.46
👵,1F475,217,183,86,75.74,1.14,52.83
👶,1F476,234,184,41,77.19,5.67,72.29
👷,1F477,212,182,44,74.67,-2.59,68.24
👸,1F478,202,154,54,66.43,8.11,56.77
👹,1F479,157,87,72,44.95,27.38,21.57
👺,1F47A,189,68,58,46.01,48.22,32.41
👻,1F47B,209,193,197,79.53,6.42,-0.09
👼,1F47C,159,151,97,62.11,-5.29,29.62
👽,1F47D,144,149,146,61.35,-2.32,0.9
👾,1F47E,169,104,183,53.8,38.8,-31.25
👿,1F47F,187,21,185,45.12,75.34,-46.05
💀,1F480,198,205,209,82.02,-1.97,-2.67
💁,1F481,188,125,36,57.42,17.36,54.64
💂,1F482,119,101,70,43.72,2.63,20.2
💃,1F483,193,75,14,47.48,44.56,54.38
💄,1F484,167,76,52,43.63,35.8,32.13
💅,1F485,208,135,54,62.54,20.93,53.17
💆,1F486,209,146,35,65.09,14.89,62.75
💇,1F487,180,122,45,55.81,16.08,49.02
💈,1F488,181,175,193,72.54,5.33,-8.16
💉,1F489,161,202,209,78.69,-11.85,-7.84
💊,1F48A,248,151,73,71.26,30.22,54.95
💋,1F48B,229,57,53,51.66,64.75,43.24
💌,1F48C,218,207,217,84.26,5.44,-3.33
💍,1F48D,168,192,204,76.4,-5.75,-8.42
💎,1F48E,155,215,247,82.94,-11.04,-21.93
💏,1F48F,192,129,63,59.28,17.69,44.54
💐,1F490,187,143,70,62.28,8.17,44.75
💑,1F491,180,116,66,54.71,20.3,37.48
💒,1F492,218,149,163,68.87,27.79,3.1
