emoji,hex,r,g,b,l,a_val,b_val
🌍,1F30D,20,108,244,48.81,27.54,-74.31
🌎,1F30E,27,154,242,61.59,-1.1,-52.93
🌏,1F30F,21,110,244,49.2,26.78,-73.82
🌐,1F310,1,179,247,68.79,-14.14,-44.15
🌑,1F311,34,64,76,25.33,-7.3,-10.74
🌒,1F312,35,65,76,25.7,-7.35,-10.3
🌓,1F313,251,229,172,91.5,-0.56,30.63
🌔,1F314,252,229,172,91.63,-0.48,30.81
🌕,1F315,252,229,172,91.59,-0.38,30.74
🌖,1F316,252,229,172,91.56,-0.42,30.88
🌗,1F317,35,65,76,25.56,-7.35,-10.56
🌘,1F318,35,65,76,25.69,-7.34,-10.33
🌙,1F319,255,202,41,83.8,5.25,78.71
🌚,1F31A,80,127,150,50.69,-9.45,-17.22
🌛,1F31B,255,230,90,90.95,-7.0,68.84
🌜,1F31C,255,230,90,90.95,-6.99,68.85
🌝,1F31D,254,234,116,92.15,-7.45,58.66
🌞,1F31E,254,184,9,79.28,13.63,80.92
🌟,1F31F,253,216,53,87.13,-2.46,78.21
🌠,1F320,46,50,152,27.1,32.94,-56.43
🌡,1F321,172,206,212,80.57,-10.26,-6.5
🌤,1F324,254,183,30,78.94,14.54,77.25
🌥,1F325,226,236,239,92.66,-2.47,-2.47
🌦,1F326,226,236,239,92.73,-2.59,-2.63
🌧,1F327,227,236,239,92.74,-2.47,-2.51
🌨,1F328,229,235,239,92.67,-1.28,-2.64
🌩,1F329,229,235,239,92.64,-1.33,-2.63
🌪,1F32A,228,236,239,92.98,-2.11,-2.36
🌫,1F32B,241,242,242,95.37,-0.21,-0.12
🌬,1F32C,177,228,254,88.0,-10.69,-17.78
🌭,1F32D,246,176,61,76.73,15.68,65.62
🌮,1F32E,253,223,99,89.11,-3.6,62.85
🌯,1F32F,239,188,89,79.12,7.72,56.07
🌰,1F330,89,48,32,24.85,16.96,18.63
🌱,1F331,153,194,59,73.34,-32.98,60.48
🌲,1F332,2,172,71,61.52,-58.91,40.78
🌳,1F333,139,192,43,71.73,-38.37,63.96
🌴,1F334,116,131,56,52.23,-17.39,38.34
🌵,1F335,139,192,41,71.71,-38.19,64.47
🌶,1F336,254,82,24,59.12,63.24,64.37
🌷,1F337,244,135,172,69.13,45.38,-0.68
🌸,1F338,255,188,216,83.07,27.83,-4.22
🌹,1F339,228,19,46,48.54,72.75,43.58
🌺,1F33A,234,75,141,56.59,65.8,-1.39
🌻,1F33B,254,186,1,79.72,12.6,81.96
🌼,1F33C,254,190,4,80.58,10.73,82.28
🌽,1F33D,251,180,34,77.98,15.07,75.63
🌾,1F33E,255,194,19,81.83,8.81,81.52
🌿,1F33F,91,152,33,56.99,-39.2,52.34
🍀,1F340,139,192,43,71.77,-38.37,64.05
🍁,1F341,253,86,22,59.59,61.4,64.97
🍂,1F342,193,101,57,52.93,33.36,40.83
🍃,1F343,140,195,45,72.61,-38.91,64.08
🍄,1F344,255,83,27,59.4,63.05,63.64
🍅,1F345,254,43,36,55.06,75.02,56.85
